M_Level,D_After,N_Children,C_Width,Count
5,4,6,1.1,80877
5,4,14,1.1,80857
5,4,8,1.1,80857
5,4,12,1.1,80857
5,4,10,1.1,80857
6,4,6,1.1,73471
6,4,8,1.1,73447
6,4,10,1.1,73447
6,4,12,1.1,73447
6,4,14,1.1,73447
3,4,6,0.6,72064
3,4,6,1.1,69515
3,4,12,1.1,69503
3,4,10,1.1,69503
3,4,8,1.1,69503
3,4,14,1.1,69503
4,4,6,0.6,67920
4,4,5,0.6,66876
5,4,6,0.6,66359
6,4,6,0.6,62377
5,4,8,0.6,56399
5,4,10,0.6,54147
5,4,14,0.6,54047
5,4,12,0.6,54047
3,4,8,0.6,53887
3,4,10,0.6,52334
3,4,12,0.6,52263
3,4,14,0.6,52263
6,4,8,0.6,50748
4,4,8,0.6,48718
6,4,10,0.6,48338
6,4,12,0.6,48317
6,4,14,0.6,48317
4,4,6,1.1,48035
4,4,8,1.1,48019
4,4,12,1.1,48019
4,4,14,1.1,48019
4,4,10,1.1,48019
4,4,10,0.6,46800
4,4,14,0.6,46731
4,4,12,0.6,46731
3,4,7,0.6,35224
4,4,7,0.6,32295
5,4,5,0.6,31969
6,4,5,0.6,30975
5,4,7,0.6,29992
4,4,9,0.6,28421
6,4,7,0.6,28278
4,4,13,0.6,27914
4,4,11,0.6,27914
3,4,9,0.6,27407
3,4,13,0.6,26900
3,4,11,0.6,26900
4,4,6,1.6,26522
4,4,14,1.6,26522
4,4,8,1.6,26522
4,4,12,1.6,26522
4,4,10,1.6,26522
3,4,14,1.6,25812
3,4,12,1.6,25812
3,4,10,1.6,25812
3,4,8,1.6,25812
3,4,6,1.6,25812
5,4,9,0.6,24722
5,4,10,1.6,24282
5,4,6,1.6,24282
5,4,14,1.6,24282
5,4,8,1.6,24282
5,4,12,1.6,24282
5,4,11,0.6,24165
5,4,13,0.6,24165
6,4,14,1.6,23531
6,4,8,1.6,23531
6,4,6,1.6,23531
6,4,12,1.6,23531
6,4,10,1.6,23531
6,4,9,0.6,22882
3,4,5,1.1,22786
6,4,13,0.6,22446
6,4,11,0.6,22446
3,4,7,1.1,22377
3,4,13,1.1,22377
3,4,11,1.1,22377
3,4,9,1.1,22377
4,4,5,1.1,22102
4,4,11,1.1,21618
4,4,13,1.1,21618
4,4,7,1.1,21618
4,4,9,1.1,21618
5,4,5,1.1,20419
5,4,7,1.1,19921
5,4,9,1.1,19921
5,4,11,1.1,19921
5,4,13,1.1,19921
6,4,5,1.1,18758
6,4,7,1.1,18258
6,4,9,1.1,18258
6,4,11,1.1,18258
6,4,13,1.1,18258
5,4,9,1.6,1138
5,4,7,1.6,1138
5,4,5,1.6,1138
5,4,13,1.6,1138
5,4,11,1.6,1138
6,4,13,1.6,1125
6,4,7,1.6,1125
6,4,5,1.6,1125
6,4,11,1.6,1125
6,4,9,1.6,1125
3,4,9,1.6,1046
3,4,11,1.6,1046
3,4,7,1.6,1046
3,4,5,1.6,1046
3,4,13,1.6,1046
4,4,5,1.6,712
4,4,9,1.6,712
4,4,13,1.6,712
4,4,7,1.6,712
4,4,11,1.6,712
5,4,10,0.1,649
6,4,10,0.1,443
4,4,12,0.1,358
5,4,14,0.1,258
5,4,7,0.1,241
5,4,11,0.1,222
5,4,13,0.1,222
4,4,14,0.1,203
5,4,9,0.1,189
5,4,12,0.1,188
6,4,12,0.1,171
4,4,7,0.1,170
4,4,5,0.1,143
6,4,14,0.1,142
4,4,10,0.1,140
4,4,6,0.1,136
5,4,6,0.1,127
6,4,7,0.1,120
5,4,5,0.1,113
4,4,9,0.1,102
4,4,8,0.1,102
6,4,13,0.1,88
6,4,9,0.1,85
6,4,6,0.1,81
4,4,13,0.1,71
4,4,11,0.1,71
6,4,11,0.1,69
6,4,8,0.1,52
5,4,8,0.1,49
6,4,5,0.1,37
3,4,8,0.1,32
3,4,10,0.1,32
3,4,14,0.1,32
3,4,12,0.1,32
3,4,11,0.1,0
3,4,13,0.1,0
3,4,9,0.1,0
3,4,5,0.6,0
3,4,7,0.1,0
3,4,6,0.1,0
3,4,5,0.1,0
